,Timestamp,Temperature,Distance,SiteId,Date,obs_id,ForecastId,Value,Surface,Sampling,BaseTemperature,MondayIsDayOff,TuesdayIsDayOff,WednesdayIsDayOff,ThursdayIsDayOff,FridayIsDayOff,SaturdayIsDayOff,SundayIsDayOff,Holiday
0,2017-05-14 08:00:00+00:00,19.1,21.030575713858003,50,2017-05-14,5069721,1260,2736.927490503644,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
1,2017-05-18 20:00:00+00:00,23.2,21.030575713858003,50,2017-05-18,7603495,1260,4226.668594643124,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
2,2017-06-01 14:00:00+00:00,25.8,21.030575713858003,50,2017-06-01,3468831,1261,4542.489268359728,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
3,2017-06-03 08:00:00+00:00,21.9,21.030575713858003,50,2017-06-03,7534494,1261,3905.852514839615,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
4,2017-06-23 17:00:00+00:00,30.3,21.030575713858003,50,2017-06-23,5310420,1263,4943.786890674499,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
5,2017-07-31 05:00:00+00:00,23.4,21.030575713858003,50,2017-07-31,6505947,1266,2675.8725272192387,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
6,2017-08-09 02:00:00+00:00,26.7,21.030575713858003,50,2017-08-09,5336998,1267,2961.165719,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
7,2017-08-12 02:00:00+00:00,22.5,21.030575713858003,50,2017-08-12,6525750,1267,2901.775891371537,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
8,2017-09-13 05:00:00+00:00,19.9,21.030575713858003,50,2017-09-13,3740791,1270,2616.482699297136,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
9,2017-09-17 17:00:00+00:00,22.4,21.030575713858003,50,2017-09-17,1308717,1270,2520.4598934043897,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
10,2017-10-09 14:00:00+00:00,20.6,21.030575713858003,50,2017-10-09,1474139,1272,3799.283851652289,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
11,2017-10-24 11:00:00+00:00,17.5,21.030575713858003,50,2017-10-24,4594246,1273,3437.394432911998,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
12,2017-11-01 16:00:00+00:00,17.8,21.030575713858003,50,2017-11-01,3486896,1274,2291.781303648255,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
13,2016-11-29 07:00:00+00:00,6.9,21.030575713858003,50,2016-11-29,3128745,1246,1487.5209236564117,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
14,2016-12-09 10:00:00+00:00,10.2,21.030575713858003,50,2016-12-09,2074538,1247,4351.553746815771,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
15,2016-12-14 01:00:00+00:00,6.1,21.030575713858003,50,2016-12-14,7333532,1247,2036.4605480952887,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
16,2016-12-15 01:00:00+00:00,4.4,21.030575713858003,50,2016-12-15,1820360,1247,2110.281549157342,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
17,2016-12-15 22:00:00+00:00,10.3,21.030575713858003,50,2016-12-15,2115774,1247,2225.730934276944,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
18,2016-12-21 13:00:00+00:00,16.7,21.030575713858003,50,2016-12-21,1017913,1248,4631.851532803266,394.6370808655629,15,18,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
